iter	Passed	Remaining
594	14800	10074
595	14823	10048
596	14844	10020
597	14867	9994
598	14889	9968
599	14911	9940
600	14934	9915
601	14958	9889
602	14980	9863
603	15003	9836
604	15026	9810
605	15047	9783
606	15070	9757
607	15092	9730
608	15114	9704
609	15135	9676
610	15156	9649
611	15179	9623
612	15200	9596
613	15223	9570
614	15244	9543
615	15268	9518
616	15289	9490
617	15310	9463
618	15332	9437
619	15354	9410
620	15377	9384
621	15399	9358
622	15421	9331
623	15441	9304
624	15462	9277
625	15483	9250
626	15506	9224
627	15531	9199
628	15553	9174
629	15576	9148
630	15599	9122
631	15622	9096
632	15644	9070
633	15667	9044
634	15690	9018
635	15713	8993
636	15735	8967
637	15759	8941
638	15781	8915
639	15804	8889
640	15826	8863
641	15848	8837
642	15870	8811
643	15892	8785
644	15915	8759
645	15936	8733
646	15960	8708
647	15982	8681
648	16004	8655
649	16027	8630
650	16050	8604
651	16072	8578
652	16094	8552
653	16119	8528
654	16143	8502
655	16168	8478
656	16194	8454
657	16217	8429
658	16241	8404
659	16264	8378
660	16285	8352
661	16309	8327
662	16331	8301
663	16353	8275
664	16376	8249
665	16398	8223
666	16420	8197
667	16443	8172
668	16465	8146
669	16488	8121
670	16512	8096
671	16536	8071
672	16558	8045
673	16581	8020
674	16603	7994
675	16625	7968
676	16647	7942
677	16670	7917
678	16692	7891
679	16713	7865
680	16736	7839
681	16759	7814
682	16781	7788
683	16828	7774
684	16876	7760
685	16909	7740
686	16944	7719
687	16977	7699
688	17007	7676
689	17038	7654
690	17069	7632
691	17095	7608
692	17121	7584
693	17148	7561
694	17172	7536
695	17194	7510
696	17216	7484
697	17238	7458
698	17260	7432
699	17282	7406
700	17303	7380
701	17326	7355
702	17346	7328
703	17368	7302
704	17389	7276
705	17412	7250
706	17435	7225
707	17458	7200
708	17481	7175
709	17503	7149
710	17525	7123
711	17548	7098
712	17572	7073
713	17593	7047
714	17614	7021
715	17635	6995
716	17657	6969
717	17679	6943
718	17702	6918
719	17723	6892
720	17746	6867
721	17769	6842
722	17789	6815
723	17811	6790
724	17833	6764
725	17857	6739
726	17880	6714
727	17902	6688
728	17924	6663
729	17947	6638
730	17969	6612
731	17991	6587
732	18014	6561
733	18035	6536
734	18057	6510
735	18081	6485
736	18127	6468
737	18168	6449
738	18202	6428
739	18238	6408
740	18269	6385
741	18299	6362
742	18327	6339
743	18353	6315
744	18377	6290
745	18403	6266
746	18429	6241
747	18455	6217
748	18479	6192
749	18504	6168
750	18527	6143
751	18553	6118
752	18575	6093
753	18598	6067
754	18621	6042
755	18643	6017
756	18665	5991
757	18688	5966
758	18712	5941
759	18733	5915
760	18756	5890
761	18777	5864
762	18800	5839
763	18821	5814
764	18843	5788
765	18866	5763
766	18888	5738
767	18911	5712
768	18933	5687
769	18955	5662
770	18978	5636
771	18999	5611
772	19022	5586
773	19045	5561
774	19069	5536
775	19090	5510
776	19113	5485
777	19135	5460
778	19157	5435
779	19180	5409
780	19202	5384
781	19226	5359
782	19247	5334
783	19271	5309
784	19292	5283
785	19316	5259
786	19338	5234
787	19360	5208
788	19381	5183
789	19403	5157
790	19425	5132
791	19448	5107
792	19469	5082
793	19493	5057
794	19515	5032
795	19537	5006
796	19561	4982
797	19584	4957
798	19606	4932
799	19628	4907
800	19651	4882
801	19673	4857
802	19695	4832
803	19718	4806
804	19740	4781
805	19762	4756
806	19785	4731
807	19808	4707
808	19830	4681
809	19854	4657
810	19877	4632
811	19899	4607
812	19921	4582
813	19944	4557
814	19968	4532
815	19990	4507
816	20012	4482
817	20033	4457
818	20054	4432
819	20078	4407
820	20100	4382
821	20123	4357
822	20146	4332
823	20170	4308
824	20193	4283
825	20216	4258
826	20239	4233
827	20262	4209
828	20286	4184
829	20310	4159
830	20333	4135
831	20355	4110
832	20377	4085
833	20400	4060
834	20424	4036
835	20447	4011
836	20472	3986
837	20495	3962
838	20518	3937
839	20542	3912
840	20567	3888
841	20589	3863
842	20612	3838
843	20636	3814
844	20659	3789
845	20683	3765
846	20705	3740
847	20731	3715
848	20753	3691
849	20776	3666
850	20801	3642
851	20824	3617
852	20847	3592
853	20872	3568
854	20896	3543
855	20920	3519
856	20943	3494
857	20966	3470
858	20988	3445
859	21013	3420
860	21038	3396
861	21061	3371
862	21084	3347
863	21108	3322
864	21132	3298
865	21155	3273
866	21178	3248
867	21201	3224
868	21224	3199
869	21248	3175
870	21270	3150
871	21295	3125
872	21318	3101
873	21340	3076
874	21362	3051
875	21386	3027
876	21408	3002
877	21429	2977
878	21452	2953
879	21475	2928
880	21497	2903
881	21519	2878
882	21541	2854
883	21564	2829
884	21587	2805
885	21611	2780
886	21633	2755
887	21656	2731
888	21679	2706
889	21702	2682
890	21724	2657
891	21747	2633
892	21769	2608
893	21791	2583
894	21814	2559
895	21837	2534
896	21858	2509
897	21879	2485
898	21902	2460
899	21924	2436
900	21947	2411
901	21968	2386
902	21992	2362
903	22013	2337
904	22037	2313
905	22059	2288
906	22081	2264
907	22106	2239
908	22127	2215
909	22150	2190
910	22172	2166
911	22195	2141
912	22217	2117
913	22239	2092
914	22261	2068
915	22284	2043
916	22307	2019
917	22330	1994
918	22352	1970
919	22375	1945
920	22398	1921
921	22421	1896
922	22443	1872
923	22467	1847
924	22489	1823
925	22511	1798
926	22534	1774
927	22557	1750
928	22580	1725
929	22603	1701
930	22625	1676
931	22647	1652
932	22670	1628
933	22693	1603
934	22714	1579
935	22737	1554
936	22760	1530
937	22782	1505
938	22805	1481
939	22826	1457
940	22849	1432
941	22872	1408
942	22894	1383
943	22917	1359
944	22938	1335
945	22961	1310
946	22984	1286
947	23006	1261
948	23029	1237
949	23051	1213
950	23073	1188
951	23097	1164
952	23120	1140
953	23142	1115
954	23165	1091
955	23189	1067
956	23211	1042
957	23233	1018
958	23256	994
959	23277	969
960	23300	945
961	23322	921
962	23344	896
963	23367	872
964	23389	848
965	23436	824
966	23480	801
967	23513	777
968	23545	753
969	23577	729
970	23606	705
971	23636	680
972	23665	656
973	23691	632
974	23717	608
975	23743	583
976	23768	559
977	23791	535
978	23814	510
979	23839	486
980	23864	462
981	23886	437
982	23909	413
983	23934	389
984	23957	364
985	23982	340
986	24006	316
987	24030	291
988	24054	267
989	24075	243
990	24099	218
991	24119	194
992	24143	170
993	24166	145
994	24190	121
995	24214	97
996	24236	72
997	24260	48
998	24284	24
999	24305	0
